race_year_id,event,race,city,country,date,start_time,participation,distance,elevation_gain,elevation_loss,aid_stations,participants,latitude,longitude
27003,Tjörnarparen - Trail Ultra,100 miles,TJÖRNARP,Sweden,2018-12-08,09:00:00,Solo,162.1,2290,-2310,9,50,55.9999833,13.6350456
34709,Wicklow Way 50 Miles,100 Miles,Wicklow,Ireland,2018-12-07,14:00:00,Solo,160.7,5750,-5750,4,50,52.9802376,-6.0414184
29415,Kullamannen,100 miles,Kullaberg,Sweden,2018-11-02,07:00:00,Solo,161.8,4310,-4280,14,320,56.29295265593233,12.50439215977641
29783,White Rose Ultra,100 Mile,Huddersfield,United Kingdom,2018-10-28,00:00:00,Solo,165.4,4380,-4430,5,60,53.6466645,-1.7822482
33019,GRAN VUELTA VALLE DEL GENAL,100 MILLAS DEL GENAL,BENARRABA,Spain,2018-10-26,20:00:00,Solo,162.8,8020,-7490,17,150,36.5508289,-5.2756812
36091,Bèrghem Ultra Trail,Furuberget Endurance,Hamar,Norway,2018-10-20,10:00:00,Solo,169.7,7440,-7440,18,50,61.0014937,11.16479641006573
30573,Dalmacija Ultra-Trail®,Sky Dut,Omiš,Croatia,2018-10-19,14:00:00,Solo,159.3,7140,-7170,14,150,43.4434966,16.6922771
37943,Rodopi Ultra Trail,Rodopi Advendurun,Haidou,Greece,2018-10-19,06:00:00,Solo,163.0,6910,-6910,6,200,41.3320037,24.71209124474546
30965,Le Grand Raid De La Réunion,La Diagonale Des Fous,Saint-Denis,France,2018-10-18,22:00:00,Solo,168.1,9610,-9560,17,2900,48.935773,2.3580232
30411,Centurion Autumn 100,Centurion Autumn 100,Goring-On-Thames,United Kingdom,2018-10-13,10:00:00,Solo,161.1,1580,-1580,14,250,51.52159775,-1.1218711515875066
33167,Virgin Forest Trail,Ultra-Trail®,PARANESTI,Greece,2018-10-12,00:00:00,Solo,162.6,6920,-6920,15,150,41.2666146,24.5002964
35935,Crimea X Run,Stage Race,Yalta,Ukraine,2018-10-10,10:00:00,Solo,174.7,9480,-9530,8,200,44.4970713,34.1586871
30463,100 Miles Sud De France,100 Miles,bolquere,France,2018-10-05,10:00:00,Solo,172.6,8130,-9870,15,500,42.5023721,2.0786803
30505,WUT - Wienerwald Ultra Trail,TITAN-WUT,Purkersdorf,Austria,2018-09-29,06:30:00,Solo,163.8,5360,-5380,15,50,48.2076724,16.1772068
34813,Black River Run,100 Miles,Västerås,Sweden,2018-09-22,10:00:00,Solo,161.5,1030,-1030,9,200,59.6110992,16.5463679
25831,Cotswold Way Century,102 Miles,Chipping Campden,United Kingdom,2018-09-22,12:00:00,Solo,165.7,4150,-4270,10,130,52.0496652,-1.7813927
36617,GARMIN ULTRA RACE STOLOWE MOUNTAINS,Challange 158,RADKÓW,Poland,2018-09-14,06:00:00,Solo,77.5,2460,-2460,11,50,50.5042182,16.401351
25877,SwissPeaks Trail,170K Valais*Wallis,Le Bouveret,Switzerland,2018-09-07,13:00:00,Solo,165.0,10780,-12020,13,400,46.382908,6.8540248
23479,Ultra Tour Monte Rosa,Ultra Tour 170 km,Grächen,Switzerland,2018-09-06,06:00:00,Solo,170.0,10990,-10990,15,200,46.1960178,7.8421612
23475,Ultra Tour Monte Rosa,4 Stage Race 170 km,Grächen,Switzerland,2018-09-05,06:00:00,Solo,171.6,10940,-10920,11,300,46.1960178,7.8421612
33867,Vadrózsa,Vadrózsa 160,Rózsaszentmárton,Hungary,2018-09-01,06:45:00,Solo,159.6,6340,-6350,17,100,47.7828558,19.7419306
25073,UTMB®,UTMB®,Chamonix,France,2018-08-31,18:00:00,Solo,170.0,9990,-9990,16,2300,45.9246705,6.8727506
26491,Ultra Tour des 4 Massifs,Ut4M160 Xtrem,Grenoble,France,2018-08-24,16:00:00,Solo,163.7,10710,-10770,16,700,45.1875602,5.7357819
26497,Ultra Tour des 4 Massifs,Ut4M160 Challenge,Grenoble,France,2018-08-23,08:00:00,Solo,128.6,8690,-8500,12,400,45.1875602,5.7357819
